FID,altkleider,url_altkleider,dosen,url_dosen,glas_braun,glas_gruen,glas_weiss,url_glas,kunststoff,url_kunststoff,adresse,shape
awm_container_opendata.1,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Stäblistraße 27,POINT (686456.9772007321 5329059.393198282)
awm_container_opendata.2,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Autharistraße 56,POINT (691129.0393008281 5329098.845398013)
awm_container_opendata.3,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Harthauser Str. 30d,POINT (689911.7098008023 5329133.7069980875)
awm_container_opendata.4,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Aidenbachstr. 142a,POINT (687630.7661007554 5329166.815798218)
awm_container_opendata.5,,,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Kiefernstr. 30,POINT (693199.5110008738 5329180.608097876)
awm_container_opendata.6,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Gustav-Heinemann-Ring 60,POINT (696309.4088009455 5329183.778597653)
awm_container_opendata.7,,,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Filchnerstr. 84,POINT (686131.8828007258 5329198.672398298)
awm_container_opendata.8,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Spindlerpl. 34,POINT (687241.0468007475 5329213.106898239)
awm_container_opendata.9,3,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,3,dsd@wittmann.de,Klara-Ziegler-Bogen 16,POINT (698062.9437009878 5329233.490597515)
awm_container_opendata.10,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Therese-Giehse-Allee 104,POINT (696897.2075009595 5329258.185297608)
awm_container_opendata.11,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Waldheimplatz 2a,POINT (699190.149501016 5329259.249897424)
awm_container_opendata.12,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Drygalski-Allee 41,POINT (686446.0006007318 5329313.424198283)
awm_container_opendata.13,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Tessiner Str. 1,POINT (684431.7736006931 5329326.565898384)
awm_container_opendata.14,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,3,depotcontainer-muenchen@remondis.de ,Hans-Fitz-Weg 16,POINT (685429.0327007121 5329347.128598334)
awm_container_opendata.15,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Josef-Vötter-Str. 32,POINT (691590.362900838 5329372.136897982)
awm_container_opendata.16,3,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Putzbrunner Str. 234,POINT (698905.0850010087 5329435.774397448)
awm_container_opendata.17,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Bruggspergerstr. 27d,POINT (691189.0976008296 5329444.948198008)
awm_container_opendata.18,,,1,dsd@wittmann.de,1,2,2,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Maximilian-Kolbe-Allee 1,POINT (696518.1614009505 5329448.594397636)
awm_container_opendata.19,,,1,dsd@wittmann.de,1,2,2,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Bayerwaldstr. 33,POINT (695841.9713009344 5329454.699197688)
awm_container_opendata.20,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Baierbrunner Str. 101,POINT (688386.2280007708 5329459.667098175)
awm_container_opendata.21,2,awm@muenchen.de,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Gustav-Heinemann-Ring 22,POINT (696282.4319009448 5329469.537297656)
awm_container_opendata.22,3,awm@muenchen.de,2,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,3,depotcontainer-muenchen@remondis.de ,Forstenrieder Allee 118,POINT (685936.4418007218 5329473.091998309)
awm_container_opendata.23,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Walliser Str. 158,POINT (685019.7066007043 5329482.038098354)
awm_container_opendata.24,2,awm@muenchen.de,,,1,1,1,depotcontainer-muenchen@remondis.de ,1,dsd@wittmann.de,Carl-Wery-Str. 34,POINT (696943.0624009606 5329557.948097602)
awm_container_opendata.25,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Strähuberstr. 2,POINT (687626.7606007556 5327241.294798222)
awm_container_opendata.26,,,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Melchiorstr. 85,POINT (687070.7664007444 5327421.989598252)
awm_container_opendata.27,,,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Eberlestraße 25,POINT (686733.4456007376 5327689.479598269)
awm_container_opendata.28,,,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Schultheißstraße 2,POINT (687096.0521007448 5327765.65299825)
awm_container_opendata.29,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Herterichstr. 2,POINT (688286.0667007688 5327883.805198183)
awm_container_opendata.30,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,3,depotcontainer-muenchen@remondis.de ,Forstenrieder Allee 275,POINT (685352.5852007107 5327910.562898342)
awm_container_opendata.31,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Kemptener Str. 73,POINT (685032.0177007046 5328040.080998358)
awm_container_opendata.32,3,awm@muenchen.de,2,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,3,depotcontainer-muenchen@remondis.de ,Plattlinger Str. 65,POINT (687193.1284007468 5328053.113798245)
awm_container_opendata.33,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Wilhelm-Busch-Str. 40,POINT (686628.2709007356 5328150.992298274)
awm_container_opendata.34,,,1,dsd@wittmann.de,1,1,1,depotcontainer-muenchen@remondis.de ,2,dsd@wittmann.de,Diefenbachstr. 33,POINT (687770.8429007585 5328160.230198213)
awm_container_opendata.35,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Heinrich-Vogl-Str. 22,POINT (688265.6895007684 5328186.687898184)
awm_container_opendata.36,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Bichler Str. 72,POINT (688228.8694007676 5328227.886298186)
awm_container_opendata.37,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Uhdestr. 42,POINT (687038.6921007438 5328251.214798252)
awm_container_opendata.38,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Springerstraße 8,POINT (686318.9705007295 5328299.981198292)
awm_container_opendata.39,,,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,1,depotcontainer-muenchen@remondis.de ,Knotestraße 2,POINT (688820.4142007797 5328362.763798153)
awm_container_opendata.40,2,awm@muenchen.de,1,depotcontainer-muenchen@remondis.de ,1,1,1,depotcontainer-muenchen@remondis.de ,2,depotcontainer-muenchen@remondis.de ,Allgäuer Str. 67,POINT (685084.2893007055 5328395.986698355)
